year,Global_avg_temp,MUN_avg_temp,Global 10Y_MA,MUC 10Y_MA
1950,8.37,5.44,,
1951,8.63,5.29,,
1952,8.64,4.67,,
1953,8.87,5.22,,
1954,8.56,4.27,,
1955,8.63,4.39,,
1956,8.28,3.58,,
1957,8.73,5.11,,
1958,8.77,4.93,,
1959,8.73,5.51,8.621,4.841
1960,8.58,4.97,8.642,4.794
1961,8.8,5.85,8.659,4.85
1962,8.75,3.94,8.67,4.777
1963,8.86,3.99,8.669,4.654
1964,8.41,4.92,8.654,4.719
1965,8.53,4.08,8.644,4.688
1966,8.6,5.1,8.676,4.84
1967,8.7,5.18,8.673,4.847
1968,8.52,4.68,8.648,4.822
1969,8.6,4.42,8.635,4.713
1970,8.7,4.41,8.647,4.657
1971,8.6,4.86,8.627,4.558
1972,8.5,4.69,8.602,4.633
1973,8.95,4.57,8.611,4.691
1974,8.47,5.23,8.617,4.722
1975,8.74,5.2,8.638,4.834
1976,8.35,4.95,8.613,4.819
1977,8.85,5.32,8.628,4.833
1978,8.69,4.32,8.645,4.797
1979,8.73,4.87,8.658,4.842
1980,8.98,4.19,8.686,4.82
1981,9.17,4.82,8.743,4.816
1982,8.64,5.51,8.757,4.898
1983,9.03,5.6,8.765,5.001
1984,8.69,4.43,8.787,4.921
1985,8.66,4.52,8.779,4.853
1986,8.83,4.85,8.827,4.843
1987,8.99,4.69,8.841,4.78
1988,9.2,5.64,8.892,4.912
1989,8.92,5.88,8.911,5.013
1990,9.23,5.92,8.936,5.186
1991,9.18,4.93,8.937,5.197
1992,8.84,5.91,8.957,5.237
1993,8.87,5.33,8.941,5.21
1994,9.04,6.64,8.976,5.431
1995,9.35,5.33,9.045,5.512
1996,9.04,4.49,9.066,5.476
1997,9.2,5.79,9.087,5.586
1998,9.52,5.66,9.119,5.588
1999,9.29,5.55,9.156,5.555
2000,9.2,6.33,9.153,5.596
2001,9.41,5.59,9.176,5.662
2002,9.57,6.26,9.249,5.697
2003,9.53,6.12,9.315,5.776
2004,9.32,5.43,9.343,5.655
2005,9.7,5.01,9.378,5.623
2006,9.53,5.94,9.427,5.768
2007,9.73,6.28,9.48,5.817
2008,9.43,5.94,9.471,5.845
2009,9.51,5.89,9.493,5.879
2010,9.7,4.85,9.543,5.731
2011,9.52,6.56,9.554,5.828
2012,9.51,5.88,9.548,5.79
2013,9.61,6,9.556,5.778
